DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES,Daily Avg Return,weekly Avg Return,monthly Avg Return,,,
19-Aug-26,EQ,"1,412.00","1,416.00","1,391.50","1,412.00","1,402.00","1,402.00","1,398.73","1,480.00","1,187.60","1,03,04,210","14,41,28,44,395.90","1,33,658",-0.70822%,,,,,
18-Aug-26,EQ,"1,410.00","1,416.60","1,406.30","1,415.30","1,412.00","1,412.00","1,410.79","1,480.00","1,187.60","83,45,198","11,77,32,83,117.60","1,16,562",-0.23317%,,,,,
17-Aug-26,EQ,"1,418.00","1,423.60","1,407.00","1,417.00","1,415.30","1,415.30","1,416.27","1,480.00","1,187.60","56,05,603","7,93,90,52,356.40","1,06,272",-0.11997%,,,,,
14-Aug-26,EQ,"1,403.00","1,417.80","1,401.00","1,406.80","1,417.00","1,417.00","1,409.86","1,480.00","1,187.60","60,97,934","8,59,72,21,380.50","1,18,817",0.72505%,,,,,
13-Aug-26,EQ,"1,429.00","1,429.00","1,406.40","1,431.70","1,406.80","1,406.80","1,411.89","1,480.00","1,187.60","1,14,08,206","16,10,70,93,271.20","1,61,325",-1.73919%,,,,,
12-Aug-26,EQ,"1,429.40","1,435.00","1,418.60","1,429.60","1,431.70","1,431.70","1,425.70","1,480.00","1,187.60","82,01,733","11,69,32,09,005.10","1,31,055",0.14689%,,,,,
11-Aug-26,EQ,"1,432.10","1,434.00","1,412.20","1,431.80","1,429.60","1,429.60","1,421.41","1,480.00","1,187.60","1,04,71,914","14,88,48,71,301.50","2,18,784",-0.15365%,,,,,
10-Aug-26,EQ,"1,428.10","1,441.90","1,415.50","1,421.00","1,431.80","1,431.80","1,426.20","1,480.00","1,187.60","1,27,49,354","18,18,31,53,808.00","1,42,995",0.76003%,,,,,
7-Aug-26,EQ,"1,451.00","1,455.00","1,418.20","1,457.50","1,421.00","1,421.00","1,433.17","1,480.00","1,187.60","1,43,95,789","20,63,15,53,752.10","1,55,386",-2.50429%,,,,,
6-Aug-26,EQ,"1,460.00","1,460.00","1,448.30","1,450.10","1,457.50","1,457.50","1,455.71","1,480.00","1,187.60","1,49,54,726","21,76,97,66,618.40","1,91,250",0.51031%,,,,,
5-Aug-26,EQ,"1,454.60","1,454.60","1,431.20","1,454.60","1,450.10","1,450.10","1,442.50","1,480.00","1,187.60","1,17,23,296","16,91,08,29,557.20","1,69,434",-0.30936%,,,,,
